City ,Confirmed Covid Case Numbers
Kabul,70111
Kandahār,132297
Herāt,128456
Mazār-e Sharīf,13693
Kunduz,34180
Jalālābād,1259
Lashkar Gāh,3732263
Maīmanah,222555
Shibirghān,644207
Khōst,333723
Ghaznī,11745
Pul-e Khumrī,235698
Tāluqān,797386
Farāh,4012
Gardēz,392629
Faīẕābād,12791
Bāmyān,8058
Chārīkār,1603
Sar-e Pul,366714
Zaranj,203839
Asadābād,53771
Maīdān Shahr,241
Mehtar Lām,418221
Fayrōz Kōh,13430
Qalāt,143526
Tarīn Kōṯ,4715
Maḩmūd-e Rāqī,30273
Qal‘ah-ye Now,28825
Aībak,78929
Pul-e ‘Alam,7085
Sharan,4928
Nīlī,3881
Bāzārak,11658
Pārūn,31416
Balkh,314102
Baghlān,355955
Kōṯah-ye ‘As̲h̲rō,140087
Khulm,72363
Khānābād,1660935
Barakī Barak,279434
Qal‘ah-ye Zāl,712
Karukh,11523
Zarghūn Shahr,188
Andkhōy,290526
Buynī Qarah,424741
Tirana,260659
Durrës,73246
Vlorë,8529
Kamëz,4061
Fier,129424
Shkodër,18589
Elbasan,271200
Korçë,360
Berat,92244
Gjirokastër,5600353
Lezhë,24365
Kukës,5990
Peshkopi,342880
Sarandë,93775
Lushnjë,400395
Kavajë,161
Pogradec,253837
Fushë-Krujë,23172
Laç,3761
Sukth,16822
Patos,14128
Librazhd-Qendër,27
Kuçovë,236952
Krujë,804032
Burrel,6555
Vorë,1809926
Gramsh,2893218
Shijak,1193608
Libonik,254870
Belsh,839453
Rrëshen,47233
Ballsh,48374
Mamurras,734659
Divjakë,438715
Bulqizë,170485
Shëngjin,2
Vau i Dejës,106946
Rrogozhinë,306717
Peqin,104222
Bilisht,1908
Librazhd,132918
Cërrik,540132
Roskovec,10825
Përmet,2179
Prrenjas,184815
Krumë,3008
Delvinë,273866
Bajram Curri,69830
Tepelenë,9
Ersekë,41234
Çorovodë,34329
Pukë,558534
Algiers,62906
Oran,14265
Constantine,30529
Blida,4
Batna,19463
Sétif,1363
Djelfa,1
Annaba,255105
Sidi Bel Abbès,2503
Biskra,56621
Tébessa,99566
Tiaret,518868
Bejaïa,70724
Tlemcen,54659
Bordj Bou Arreridj,553422
Skikda,2672
Béchar,7324
El Eulma,5410
Chlef,166285
Souk Ahras,155246
M’Sila,124655
Mostaganem,213784
Touggourt,377428
Médéa,15772
Tizi Ouzou,350613
El Oued,1216582
Laghouat,2871371
Jijel,848213
Ouargla,217041
Relizane,1077426
Saïda,26892
Guelma,68
Ghardaïa,5035
Khenchela,2027
Bou Saâda,3
Mascara,5089
Messaad,2345
Aïn Oussera,448284
Oum el Bouaghi,41331
El Bayadh,712046
Tamanrasset,11145
Tissemsilt,4141
Bouira,62003
Adrar,389440
Tindouf,253493
Boumerdes,20
El Tarf,14653
Tipasa,1659070
Illizi,139910
Naama,10688
Aïn Temouchent,180593
Aïn Defla,35289
Mila,14515
Es Senia,693023
El Milia,24440
Bordj Menaïel,7806
Mecheria,13308
Aïn Sefra,509
Lakhdaria,151842
Boufarik,6752
Azzaba,13432
Akbou,23001
’Aïn Azel,343374
Ouled Moussa,5235978
Hassi Messaoud,45931
’Aïn Arnat,567263
Draa el Mizan,288172
Souma,99844
Azazga,4
Didouche Mourad,231443
Timimoun,6908
Dellys,307838
I-n-Salah,6731
Draa Ben Khedda,94751
El Golea,38933
Boghni,73972
Tizi Gheniff,82207
L’Arbaa Naït Irathen,14661
Timizart,26501
Freha,46890
Mekla,755
